s_no,latitude,longitude,slide_name,state,state_normalized,district,subdivision_or_taluk,material_involved,movement_type,initiation_year_raw,history_date_raw,event_year,source_page
30552,32.45,76.51,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Slide,0,,,518
30553,32.45,76.52,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,518
30554,32.45,76.52,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,518
30555,32.45,76.52,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Slide,0,,,518
30556,32.45,76.52,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,518
30557,32.45,76.52,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,518
30558,32.45,76.51,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Slide,0,,,518
30559,32.45,76.52,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,518
30560,32.45,76.52,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,518
30561,32.45,76.6,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Slide,0,,,518
30562,32.45,76.6,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,518
30563,32.45,76.59,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Slide,0,,,518
30564,32.45,76.59,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Slide,0,,,518
30565,32.45,76.59,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Slide,0,,,518
30566,32.45,76.58,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,518
30567,32.45,76.58,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,518
30568,32.45,76.58,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,518
30569,32.45,76.58,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,518
30570,32.4516,77.1532,,Himachal Pradesh,Himachal Pradesh,Lahul & Spiti,Lahul,Rock,Slide,0,,,518
30571,32.4549,77.1502,,Himachal Pradesh,Himachal Pradesh,Lahul & Spiti,Lahul,Rock,Slide,0,,,518
30572,32.4549,77.1502,,Himachal Pradesh,Himachal Pradesh,Lahul & Spiti,Lahul,Rock,Slide,0,,,518
30573,32.4563,77.1572,,Himachal Pradesh,Himachal Pradesh,Lahul & Spiti,Lahul,Debris,Slide,0,,,518
30574,32.4571,77.1473,,Himachal Pradesh,Himachal Pradesh,Lahul & Spiti,Lahul,Debris,Slide,0,,,518
30575,32.458,77.1425,,Himachal Pradesh,Himachal Pradesh,Lahul & Spiti,Lahul,Debris,Flow,0,,,518
30576,32.458,77.1425,,Himachal Pradesh,Himachal Pradesh,Lahul & Spiti,Lahul,Rock,Slide,0,,,518
30577,32.46,75.93,Kakira taxi stand,Himachal Pradesh,Himachal Pradesh,Chamba,Kakira,Debris,Slide,2018,,2018.0,518
30578,32.46,76.02,,Himachal Pradesh,Himachal Pradesh,Chamba,Bhattiyat,Rock,Slide,0,,,518
30579,32.46,76.03,,Himachal Pradesh,Himachal Pradesh,Chamba,Bhattiyat,Rock,Slide,0,,,518
30580,32.46,76.04,,Himachal Pradesh,Himachal Pradesh,Chamba,Bhattiyat,Debris,Slide,0,,,518
30581,32.46,76.18,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Debris,Slide,0,,,518
30582,32.46,76.17,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Debris,Slide,0,,,518
30583,32.46,76.18,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Debris,Slide,0,,,518
30584,32.46,76.18,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Debris,Slide,0,,,518
30585,32.46,76.18,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Debris,Slide,0,,,518
30586,32.46,76.41,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,518
30587,32.46,76.46,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Slide,0,,,519
30588,32.46,76.45,,Himachal Pradesh,Himachal Pradesh,Chamba,Holi,Debris,Slide,0,,,519
30589,32.46,76.4,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
30590,32.46,76.46,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
30591,32.46,76.33,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Rock,Slide,0,,,519
30592,32.46,76.3,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Rock,Slide,0,,,519
30593,32.46,76.3,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Rock,Slide,0,,,519
30594,32.46,76.31,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Rock,Slide,0,,,519
30595,32.46,76.31,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Rock,Slide,0,,,519
30596,32.46,76.4,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
30597,32.46,76.33,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Debris,Slide,0,,,519
30598,32.46,76.3,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Rock,Slide,0,,,519
30599,32.46,76.46,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Slide,0,,,519
30600,32.46,76.52,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
30601,32.46,76.52,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
30602,32.46,76.52,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
30603,32.46,76.52,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
30604,32.46,76.52,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Slide,0,,,519
30605,32.46,76.51,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
