latitude,longitude,label,sample_type
20.019747005786588,95.27550667571393,0,pseudo_background
14.354078953959453,80.45580077491556,0,pseudo_background
24.614049126714633,85.56603029107825,0,pseudo_background
14.391507570446889,80.5974540474072,0,pseudo_background
33.24397,75.782973,1,inventory_positive
15.601417526049081,89.47350069245819,0,pseudo_background
8.875303722877103,87.71402746235958,0,pseudo_background
10.081212,76.950995,1,inventory_positive
30.587641642183723,76.3438730035302,0,pseudo_background
26.77388,89.588716,1,inventory_positive
20.85150274333096,96.167322541068,0,pseudo_background
27.95152333775336,86.3883327226476,0,pseudo_background
28.161075033567123,90.57734342421111,0,pseudo_background
26.821722,95.078389,1,inventory_positive
19.080147911474224,92.0734885379875,0,pseudo_background
9.600566785242725,90.3822889521457,0,pseudo_background
32.86829505177756,93.38936038748903,0,pseudo_background
22.11,92.88,1,inventory_positive
24.19,93.97,1,inventory_positive
32.3125507899736,83.07962620633421,0,pseudo_background
32.849637329696314,79.44249845048594,0,pseudo_background
14.210468932410178,73.45988728597098,0,pseudo_background
30.866215,77.019833,1,inventory_positive
29.38806463881765,82.00686029136958,0,pseudo_background
32.610061,75.345969,1,inventory_positive
27.011611,88.227611,1,inventory_positive
32.07790271209966,96.39701689448015,0,pseudo_background
13.99868671799262,84.53332112195075,0,pseudo_background
26.93362,92.70757,1,inventory_positive
25.691306,94.057,1,inventory_positive
16.372701610630298,85.3751084116443,0,pseudo_background
10.115274965714658,84.3754764152593,0,pseudo_background
11.306284756388978,91.69197647286825,0,pseudo_background
32.84,76.12,1,inventory_positive
9.604565998863736,73.24098352872858,0,pseudo_background
12.494438186257748,90.11163037471728,0,pseudo_background
22.837624,92.797165,1,inventory_positive
26.544628057697583,88.16952657034429,0,pseudo_background
31.989437160653644,77.4715321109458,0,pseudo_background
18.38,73.57,1,inventory_positive
28.28331,96.58094,1,inventory_positive
8.341031725459946,85.01135497159707,0,pseudo_background
10.761620429246511,78.78456691204241,0,pseudo_background
24.42967823621711,87.10406625481289,0,pseudo_background
13.122494,75.49745556,1,inventory_positive
26.468128309127927,93.83595632141623,0,pseudo_background
29.503686,80.008583,1,inventory_positive
10.340708,76.912872,1,inventory_positive
33.75,75.61,1,inventory_positive
30.856602,78.634832,1,inventory_positive
25.041083,92.783111,1,inventory_positive
29.244021,80.015769,1,inventory_positive
26.779281385734834,76.01505936724237,0,pseudo_background
12.587747786715438,91.099884618911,0,pseudo_background
33.28553063018698,84.37681671996107,0,pseudo_background
17.208077359354714,85.08013170401213,0,pseudo_background
32.79,76.15,1,inventory_positive
24.229303,92.819002,1,inventory_positive
12.05695370595727,75.36858893827417,0,pseudo_background
22.495948049889158,96.27368516404728,0,pseudo_background
20.20087896700996,77.8513499687248,0,pseudo_background
22.986269075862385,72.94358152943455,0,pseudo_background
31.000198158410054,82.87246640342126,0,pseudo_background
23.213055,92.58889,1,inventory_positive
31.604133,76.206089,1,inventory_positive
32.39961852492717,79.58869865745449,0,pseudo_background
16.272245815758165,86.725563232935,0,pseudo_background
23.003361,92.962914,1,inventory_positive
29.354112590201744,94.92319299619304,0,pseudo_background
11.156797,76.522697,1,inventory_positive
27.090286,88.464121,1,inventory_positive
32.32,76.56,1,inventory_positive
23.607254444602336,85.72092912134266,0,pseudo_background
25.264639,94.062167,1,inventory_positive
11.505833,75.867778,1,inventory_positive
17.0585,74.0227,1,inventory_positive
25.316589,92.687186,1,inventory_positive
33.046417,75.131028,1,inventory_positive
14.140336327018916,74.88744336475858,0,pseudo_background
18.707356221631812,79.95122567115256,0,pseudo_background
12.662168013026783,93.06275128028182,0,pseudo_background
30.51409178961805,84.1722477362689,0,pseudo_background
12.371728,75.533278,1,inventory_positive
21.88817970766062,83.48784487649351,0,pseudo_background
31.34779,76.513,1,inventory_positive
31.652056,77.120889,1,inventory_positive
27.165333,88.162028,1,inventory_positive
8.844540694000711,95.74528810741312,0,pseudo_background
25.95,91.28,1,inventory_positive
29.44525,80.083111,1,inventory_positive
21.15349701904281,96.65288638900086,0,pseudo_background
32.75,76.47,1,inventory_positive
25.559,94.284,1,inventory_positive
27.384265157916996,87.53520486947455,0,pseudo_background
26.045083,95.054833,1,inventory_positive
23.745639,92.694361,1,inventory_positive
